"","N1","N2","N3","T1","T2","T3","U1","U2","U3","U87"
"hsa-miR-3613-3p_1027",8.44934113794274,3.2504820516634,3.95951519702361,6.28759360014882,12.2961537715707,16.994082651472,12.1541917570415,16.7698799585037,12.480674484527,21.3985873530062
"hsa-mir-16-1_1028",1436.38799345027,2356.59948745597,1175.97601351601,3990.94524446779,4714.1561844237,3489.19415166814,4115.40932893425,3864.89833443648,4103.02173678827,5654.57670803189
"hsa-miR-16-5p_1029",1400.17653143051,2314.34322078434,1132.42134634875,3836.27044190413,4577.952634954,3343.19953252595,3949.30204158802,3670.36772691784,3941.81302469646,5417.40903153607
"hsa-miR-16-1-3p_1030",36.2114620197546,40.089278637182,43.5546671672598,147.968036056836,128.636685610278,138.270036118795,160.435331192948,191.176631526942,154.968374849544,217.552304755563
"hsa-mir-15a_1031",188.299602502724,491.906283818395,273.206548594629,702.533791589961,782.224551468379,859.746090504017,590.693719392216,675.267166329081,618.833443191133,356.643122550103
"hsa-miR-15a-5p_1032",176.229115162806,487.572307749511,257.368487806535,670.257477775864,736.823368311811,825.757925201073,566.385335878133,651.789334387176,605.312712499562,351.293475711852
"hsa-miR-15a-3p_1033",0,3.2504820516634,3.95951519702361,7.96428522685517,6.62100587699958,10.0419579304153,7.29251505422489,5.58995998616789,3.12016862113176,3.56643122550103
"hsa-mir-5693_1034",0,0,0,0,0,0,0.810279450469433,0,0,0
"hsa-miR-5693_1035",0,0,0,0,0,0,0.810279450469433,0,0,0
"hsa-mir-4703_1036",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4703-5p_1037",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4703-3p_1038",0,0,0,0,0,0,0,0,0,0
"hsa-mir-759_1039",0,0,0,0,0,0,0,0,0,0
"hsa-miR-759_1040",0,0,0,0,0,0,0,0,0,0
"hsa-mir-1297_1041",0,0,0,0,0,0,0,0,0,0
"hsa-miR-1297_1042",0,0,0,0,0,0,0,0,0,0
"hsa-mir-5007_1043",0,0,0,0,0,0,0,0,0,0
"hsa-miR-5007-5p_1044",0,0,0,0,0,0,0,0,0,0
"hsa-miR-5007-3p_1045",0,0,0,0,0,0,0,0,0,0
"hsa-mir-3169_1046",0,0,0,0,0,0,0,0,0,0
"hsa-miR-3169_1047",0,0,0,0,0,0,0,0,0,0
"hsa-mir-548x-2_1048",0,0,0,0,0,0,0,0,0,0
"hsa-miR-548x-3p_1049",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4704_1050",0,0,0,0,0,0,0,0,0,1.78321561275052
"hsa-miR-4704-5p_1051",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4704-3p_1052",0,0,0,0,0,0,0,0,0,1.78321561275052
"hsa-mir-3665_1053",0,0,0,0,0,0,0,0,0,0
"hsa-miR-3665_1054",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4500_1055",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4500_1056",0,0,0,0,0,0,0,0,0,0
"hsa-mir-622_1057",0,1.08349401722113,0,0,0,0,0,0,0,0
"hsa-miR-622_1058",0,0,0,0,0,0,0,0,0,0
"hsa-mir-17_1059",6300.7943914373,7229.07208289941,8365.13577291189,9022.69681621355,9312.91769499113,11624.7249919092,3523.09505064109,3769.86901467163,3965.73431745847,15132.3676898009
"hsa-miR-17-5p_1060",6165.60493323022,7047.04508800626,8222.59322581904,8789.63668010137,9096.316217015,11403.0294591377,3410.46620702584,3662.5417829372,3873.16931503156,14996.8433032318
"hsa-miR-17-3p_1061",129.154214537125,176.609524807045,137.263193496819,229.70675285877,209.98047209913,213.97094974808,111.008284714312,107.327231734424,91.524946219865,133.741170956289
"hsa-mir-18a_1062",727.850386597068,865.711719759687,666.518391498975,677.383417189366,679.126031383671,812.626134061299,369.487429414061,399.123143012388,361.939560051284,497.517155957394
"hsa-miR-18a-5p_1063",584.211587252041,730.274967607045,497.579076425968,493.78568406502,472.928991214256,596.3378094062,292.510881619465,320.863703206037,288.095569351166,390.524219192363
"hsa-miR-18a-3p_1064",129.154214537125,126.768800014873,158.380607880945,157.18984000372,175.929584731703,188.479825770872,70.4943121908406,78.2594398063505,67.6036534578548,73.1118401227712
"hsa-mir-19a_1065",392.290838547342,637.094482126027,401.230873298393,703.372137403314,725.473072522669,841.979549550205,376.779944468286,421.482982957059,380.660571778075,1736.852006819
"hsa-miR-19a-5p_1066",0,0,0,0,0,2.31737490701891,0,0,0,0
"hsa-miR-19a-3p_1067",386.255594877383,626.259541953816,391.992004505338,683.251837882838,707.501770856527,822.668091991714,370.297708864531,418.129006965358,375.460290742855,1706.53734140224
"hsa-mir-20a_1068",11930.4696867752,13519.8383468853,14412.635317166,19829.8126961493,21263.8333029754,24110.7409909271,6799.86514833948,6576.02892772791,7064.06175824231,44441.2995009684
"hsa-miR-20a-5p_1069",11872.5313475435,13462.4131639726,14373.0401651957,19754.3615729476,21179.6519425392,24029.6328691814,6781.22872097868,6564.84900775557,7050.54102755074,44393.1526794241
"hsa-miR-20a-3p_1070",19.3127797438691,17.3359042755382,14.5182223890866,12.156014293621,16.0795857012847,30.8983320935855,8.91307395516376,1.11799199723358,6.24033724226352,32.0978810295093
"hsa-mir-19b-1_1071",605.938464463894,992.48051977456,677.077098691038,684.928529509545,482.387571038541,800.266801223865,511.286333246212,463.966678851935,385.860852813295,2161.25732265363
"hsa-miR-19b-1-5p_1072",3.62114620197546,5.41747008610567,5.27935359603149,3.77255616008929,6.62100587699958,6.1796664187171,0,0,2.08011241408784,32.0978810295093
"hsa-miR-19b-3p_1073",596.282074591959,980.562085585127,659.919199503936,672.353342309247,461.578695425114,781.727801967713,508.855494894804,461.730694857468,382.740684192163,2116.67693233486
"hsa-mir-92a-1_1074",23133.0889869532,18369.5575679671,16908.4497296898,13618.5085650157,14604.9931066787,18915.1864493907,8851.49271692808,5998.02706515815,10096.8656579824,45719.8650953105
"hsa-miR-92a-1-5p_1075",117.083727197207,110.516389756556,104.267233521622,45.6898468277481,69.0476327172814,78.0182885363034,31.6008985683079,54.7816078644453,65.523541043767,17.8321561275052
"hsa-miR-92a-3p_1076",23016.005259756,18257.9576841933,16802.8626577692,13571.1420265612,14534.0537579965,18836.3957025521,8819.89181835977,5942.12746529647,10031.3421169386,45702.032939183
"hsa-mir-548as_1077",0,0,0,0,0,0,0,0,0,3.56643122550103
"hsa-miR-548as-5p_1078",0,0,0,0,0,0,0,0,0,3.56643122550103
"hsa-miR-548as-3p_1079",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4501_1080",0,0,0,5.86842069347223,5.67514789457107,5.40720811637746,0,0,0,0
"hsa-miR-4501_1081",0,0,0,5.86842069347223,5.67514789457107,5.40720811637746,0,0,0,0
"hsa-mir-3170_1082",4.82819493596728,3.2504820516634,2.63967679801574,3.3533832534127,3.78343192971405,2.31737490701891,0.810279450469433,2.23598399446716,0,0
"hsa-miR-3170_1083",4.82819493596728,3.2504820516634,2.63967679801574,2.51503744005953,1.89171596485702,0.772458302339638,0,1.11799199723358,0,0
"hsa-mir-623_1084",0,0,0,0,0,0,0,0,0,0
"hsa-miR-623_1085",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4306_1086",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4306_1087",0,0,0,0,0,0,0,0,0,0
"hsa-mir-2681_1088",0,0,0,0,0,0,0,0,0,1.78321561275052
"hsa-miR-2681-5p_1089",0,0,0,0,0,0,0,0,0,1.78321561275052
"hsa-miR-2681-3p_1090",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4705_1091",0,0,1.31983839900787,0.838345813353176,0,0,0.810279450469433,0,0,5.34964683825155
"hsa-miR-4705_1092",0,0,1.31983839900787,0.838345813353176,0,0,0.810279450469433,0,0,5.34964683825155
"hsa-mir-1267_1093",1.20704873399182,0,0,0.419172906676588,0,0,0,0,0,1.78321561275052
"hsa-miR-1267_1094",1.20704873399182,0,0,0.419172906676588,0,0,0,0,0,1.78321561275052
"hsa-mir-8073_1095",0,0,0,0,0,0,0,0,0,0
"hsa-miR-8073_1096",0,0,0,0,0,0,0,0,0,0
"hsa-mir-8075_1097",0,0,0,0,0,0,0,0,0,0
"hsa-miR-8075_1098",0,0,0,0,0,0,0,0,0,0
"hsa-mir-548ar_1099",4.82819493596728,3.2504820516634,1.31983839900787,7.54511232017858,4.72928991214256,11.5868745350946,0.810279450469433,2.23598399446716,2.08011241408784,24.9650185785072
"hsa-miR-548ar-5p_1100",0,0,0,0,0,0,0,0,0,0
"hsa-miR-548ar-3p_1101",4.82819493596728,3.2504820516634,1.31983839900787,7.54511232017858,4.72928991214256,11.5868745350946,0.810279450469433,2.23598399446716,2.08011241408784,24.9650185785072
"hsa-mir-4502_1102",0,0,1.31983839900787,0.838345813353176,0.945857982428512,0,0,0,0,0
"hsa-miR-4502_1103",0,0,1.31983839900787,0.838345813353176,0.945857982428512,0,0,0,0,0
"hsa-mir-6717_1104",0,0,0,0,0,0,0,0,0,0
"hsa-miR-6717-5p_1105",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4707_1106",2.41409746798364,4.33397606888454,6.59919199503936,6.28759360014882,3.78343192971405,3.08983320935855,3.24111780187773,7.82594398063505,2.08011241408784,1.78321561275052
"hsa-miR-4707-5p_1107",1.20704873399182,4.33397606888454,2.63967679801574,2.93421034673611,2.83757394728554,1.54491660467928,1.62055890093887,5.58995998616789,1.04005620704392,1.78321561275052
"hsa-miR-4707-3p_1108",1.20704873399182,0,1.31983839900787,1.25751872002976,0.945857982428512,0,0.810279450469433,1.11799199723358,1.04005620704392,0
"hsa-mir-208a_1109",0,0,0,0,0,0,0,0,0,0
"hsa-miR-208a-3p_1110",0,0,0,0,0,0,0,0,0,0
"hsa-miR-208a-5p_1111",0,0,0,0,0,0,0,0,0,0
"hsa-mir-208b_1112",0,2.16698803444227,1.31983839900787,0,0,0,0,0,0,0
"hsa-miR-208b-3p_1113",0,2.16698803444227,1.31983839900787,0,0,0,0,0,0,0
"hsa-miR-208b-5p_1114",0,0,0,0,0,0,0,0,0,0
"hsa-mir-7703_1115",1.20704873399182,0,1.31983839900787,0.419172906676588,0.945857982428512,2.31737490701891,1.62055890093887,0,0,0
"hsa-miR-7703_1116",1.20704873399182,0,1.31983839900787,0.419172906676588,0.945857982428512,2.31737490701891,1.62055890093887,0,0,0
"hsa-mir-4307_1117",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4307_1118",0,0,0,0,0,0,0,0,0,0
"hsa-mir-3171_1119",0,0,0,0,0,0,0,0,0,0
"hsa-miR-3171_1120",0,0,0,0,0,0,0,0,0,0
"hsa-mir-624_1121",12.0704873399182,32.504820516634,11.8785455910708,9.64097685356152,12.2961537715707,11.5868745350946,9.72335340563319,11.1799199723358,7.28039344930745,7.13286245100207
"hsa-miR-624-5p_1122",9.65638987193456,31.4213264994129,11.8785455910708,8.80263104020834,8.51272184185661,11.5868745350946,4.8616767028166,10.0619279751022,6.24033724226352,7.13286245100207
"hsa-miR-624-3p_1123",2.41409746798364,1.08349401722113,0,0.838345813353176,2.83757394728554,0,4.8616767028166,1.11799199723358,1.04005620704392,0
"hsa-mir-4503_1124",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4503_1125",0,0,0,0,0,0,0,0,0,0
"hsa-mir-548y_1126",0,0,0,0,0,0,0,0,0,0
"hsa-miR-548y_1127",0,0,0,0,0,0,0,0,0,0
"hsa-mir-6076_1128",0,0,0,0,0,0,0,0,0,0
"hsa-miR-6076_1129",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4504_1130",1.20704873399182,2.16698803444227,2.63967679801574,4.19172906676588,7.56686385942809,3.08983320935855,1.62055890093887,1.11799199723358,1.04005620704392,5.34964683825155
"hsa-miR-4504_1131",1.20704873399182,2.16698803444227,2.63967679801574,4.19172906676588,7.56686385942809,3.08983320935855,1.62055890093887,1.11799199723358,1.04005620704392,5.34964683825155
"hsa-mir-5580_1132",1.20704873399182,0,1.31983839900787,0.419172906676588,0.945857982428512,0,0,0,0,0
"hsa-miR-5580-5p_1133",0,0,0,0,0,0,0,0,0,0
"hsa-miR-5580-3p_1134",1.20704873399182,0,1.31983839900787,0.419172906676588,0.945857982428512,0,0,0,0,0
"hsa-mir-4308_1135",0,0,0,0,0,0,0,0,0,0
"hsa-miR-4308_1136",0,0,0,0,0,0,0,0,0,0
"hsa-mir-5586_1137",0,0,0,0.838345813353176,0,0,2.4308383514083,2.23598399446716,1.04005620704392,0
"hsa-miR-5586-5p_1138",0,0,0,0.838345813353176,0,0,1.62055890093887,1.11799199723358,1.04005620704392,0
"hsa-miR-5586-3p_1139",0,0,0,0,0,0,0.810279450469433,1.11799199723358,0,0
"hsa-mir-548h-1_1140",0,1.08349401722113,1.31983839900787,0,0,0,51.0476053795743,50.309639875511,35.3619110394933,0
"hsa-miR-548h-5p_1141",0,1.08349401722113,1.31983839900787,0,0,0,51.0476053795743,50.309639875511,35.3619110394933,0
"hsa-mir-7855_1142",0,0,0,0,0,0,0,0,0,0
"hsa-miR-7855-5p_1143",0,0,0,0,0,0,0,0,0,0
"hsa-mir-4706_1144",0,1.08349401722113,1.31983839900787,0.838345813353176,0,0.772458302339638,1.62055890093887,0,2.08011241408784,0
"hsa-miR-4706_1145",0,1.08349401722113,1.31983839900787,0.838345813353176,0,0.772458302339638,1.62055890093887,0,2.08011241408784,0
"hsa-mir-4708_1146",0,1.08349401722113,0,1.25751872002976,1.89171596485702,2.31737490701891,0,0,0,0
